Model,Full_R2,Full_CWp,NBER_rec_R2,NBER_rec_CWp,NBER_exp_R2,NBER_exp_CWp
PCR,0.23,0.033,2.44,0.114,-0.51,0.057
Ridge,-1.18,0.18,-2.93,0.272,-0.6,0.186
LASSO,-1.37,0.212,-4.65,0.356,-0.28,0.113
ENet,-1.42,0.226,-4.38,0.362,-0.42,0.153
PLS,-5.19,0.275,-7.18,0.379,-4.52,0.28
OLS,-12.68,0.27,-21.13,0.483,-9.86,0.186
RF,-7.17,0.447,-8.42,0.742,-6.75,0.187
GBRT,-14.45,0.129,-17.62,0.487,-13.4,0.021
XGB,-34.95,0.261,-38.34,0.795,-33.82,0.038
NN3,-17.33,0.144,-23.42,0.821,-15.3,0.043
Mean,-1.58,0.271,-5.74,0.548,-0.19,0.054
Median,-1.03,0.389,-3.71,0.505,-0.13,0.247
